          0           1
          0           0
          0           0
          0           0
          0           0
          0           0
    1.34041     1.10305
  0.0279253           0
    -1.1589    -1.08909
   -1.45211    -1.45211
 -0.0279252           0
 -0.0698132           0
  -0.921534    -0.74002
   -1.25664   -0.977384
   0.279253    0.363029
    1.24267     1.20079
   -1.21475    -1.22871
          0           0
          0           0
   0.223402    0.279253
3.72529e-09           0
2.04891e-08           0
  -0.446804   -0.516618
          0           0
          0           0
          0           0
          0           0
          0           0
          0           0
          0           0
          0           0
          0           0
          0           0
          0           0
          0           0
          0           0
          0           0
